hmid,wid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category
27715,2272,24h,when i received flowers from my best friend,when i received flowers from my best friend,TRUE,1,bonding,bonding
27716,157,24h,"My spouse gave me a kiss and big hug in the morning,when i go to office","My spouse gave me a kiss and big hug in the morning,when i go to office",TRUE,1,,affection
27717,466,24h,My son gave me a big hug in the morning,My son gave me a big hug in the morning,TRUE,1,,affection
27718,1566,24h,I cooked and ate a wonderful sausage and cheese omelet.,I cooked and ate a wonderful sausage and cheese omelet.,TRUE,1,,enjoy_the_moment
27719,36,24h,I achieved my daily income goal.,I achieved my daily income goal.,TRUE,1,,achievement
27720,2019,24h,i met my favorite superstar for the first time,i met my favorite superstar for the first time,TRUE,1,,bonding
27721,4109,24h,"I remember yesterday as being totally different from many of my Mondays. It felt like Spring finally, the sun was bright, the temperatures were warm.","I remember yesterday as being totally different from many of my Mondays. It felt like Spring finally, the sun was bright, the temperatures were warm.",TRUE,2,,nature
27722,373,24h,I ate a very good dinner with my family,I ate a very good dinner with my family,TRUE,1,,affection
27723,389,24h,I went shopping ,I went shopping ,TRUE,1,leisure,leisure
27724,10576,24h,The phone that I have ordered in a local online store was delivered this morning. I like the phone so much!,The phone that I have ordered in a local online store was delivered this morning. I like the phone so much!,TRUE,2,enjoy_the_moment,enjoy_the_moment
27725,2129,24h,TODAY MORNING MY SON'S EXAM RESULTS CAME. HE HAD GOT DISTINCTION THAT IS FIRST GRADE  IN ALL SUBJECTS I FELT VERY HAPPY,TODAY MORNING MY SON'S EXAM RESULTS CAME. HE HAD GOT DISTINCTION THAT IS FIRST GRADE  IN ALL SUBJECTS I FELT VERY HAPPY,TRUE,2,,achievement
27726,383,24h,I bought a new TV,I bought a new TV,TRUE,1,achievement,achievement
27727,553,24h,Our national cricket team won the test match and the series this morning. This win sealed our position as the no.1 Test team in the world. This made me very happy today.,Our national cricket team won the test match and the series this morning. This win sealed our position as the no.1 Test team in the world. This made me very happy today.,TRUE,3,,achievement
27728,311,24h,I made a bunch of extra sales in my side business last night.,I made a bunch of extra sales in my side business last night.,TRUE,1,,achievement
27729,104,24h,I walked to work and back with my partner.,I walked to work and back with my partner.,TRUE,1,,affection
27730,3284,24h,I got a promotion today after 2 years of service at my job.,I got a promotion today after 2 years of service at my job.,TRUE,1,,achievement
27731,2776,24h,My sister and I had a long chat about what was happening in our lives right now. I enjoyed reconnecting with her.,My sister and I had a long chat about what was happening in our lives right now. I enjoyed reconnecting with her.,TRUE,2,,affection
27732,25,24h,I woke up early in the morning at 7 am against daily of 8:30 am,I woke up early in the morning at 7 am against daily of 8:30 am,TRUE,1,,achievement
27733,257,24h,my partner buy a big cake for me its very nice and tasty .i never expect the cake from my partner he really loves me lot .the cake is very delicious and very cold .the taste was very different compared to other cake .the day was went very interesting and i spent most of the time with my partner .we went to movie and we had a fun .i really miss my partner and after that most of the day i love to spent with him.,my partner buy a big cake for me its very nice and tasty .i never expect the cake from my partner he really loves me lot .the cake is very delicious and very cold .the taste was very different compared to other cake .the day was went very interesting and i spent most of the time with my partner .we went to movie and we had a fun .i really miss my partner and after that most of the day i love to spent with him.,TRUE,1,,affection
27734,13224,24h,when i logged on to account on m-turk i saw that all the pending hits  have got approved and i still had 100% acceptance   ,when i logged on to account on m-turk i saw that all the pending hits  have got approved and i still had 100% acceptance   ,TRUE,1,,achievement
27735,1377,24h,I slow cooked a chuck roast on my stove that came out great.,I slow cooked a chuck roast on my stove that came out great.,TRUE,1,achievement,achievement
27736,5652,24h,I saw two close friends that I haven't seen for a couple months.,I saw two close friends that I haven't seen for a couple months.,TRUE,1,,bonding
27737,57,24h,I cooked my girlfriend a wonderful breakfast.,I cooked my girlfriend a wonderful breakfast.,TRUE,1,,affection
27738,612,24h,Today morning I was selected as a Junior Engineer for a leading and familiar mobile sales company.,Today morning I was selected as a Junior Engineer for a leading and familiar mobile sales company.,TRUE,1,,achievement
27739,2646,24h,"a smile from my son faces make be happy everyday, today also I got it","a smile from my son faces make be happy everyday, today also I got it",TRUE,1,,affection
27740,2794,24h,I was happy when one of my day trade gave me good profit today. ,I was happy when one of my day trade gave me good profit today. ,TRUE,1,,achievement
27741,3797,24h,I took my dog for a long walk on a beautiful day.,I took my dog for a long walk on a beautiful day.,TRUE,1,,affection
27742,9885,24h,"I was running around after the kids and my husband grabbed me and told me I was beautiful, perfect, smart, special and that he loved me. ","I was running around after the kids and my husband grabbed me and told me I was beautiful, perfect, smart, special and that he loved me. ",TRUE,1,,affection
27743,6186,24h,"My 3yrs son felt very bad for kicking me and said "" mom i'm very sorry for kicking you i wont repeat this"".I felt happy in this age he realizes his mistake.","My 3yrs son felt very bad for kicking me and said "" mom i'm very sorry for kicking you i wont repeat this"".I felt happy in this age he realizes his mistake.",TRUE,1,,affection
27744,491,24h,"Long ago, men went to sea, and women waited for them, standing on the edge of the water, scanning the horizon for the tiny ship. Now I wait for Henry. He vanishes unwillingly, without warning. I wait for him. Each moment that I wait feels like a year, an eternity. My husband is comedy man and that moment is happy mood.My baby born   in this moment.","Long ago, men went to sea, and women waited for them, standing on the edge of the water, scanning the horizon for the tiny ship. Now I wait for Henry. He vanishes unwillingly, without warning. I wait for him. Each moment that I wait feels like a year, an eternity. My husband is comedy man and that moment is happy mood.My baby born   in this moment.",TRUE,6,,affection
27745,1020,24h,I lost 2 kgs of weight after a month long effort I had put to achieve it.,I lost 2 kgs of weight after a month long effort I had put to achieve it.,TRUE,1,achievement,achievement
27746,1625,24h,"i finally learned to cook chicken
","i finally learned to cook chicken
",TRUE,1,achievement,achievement
27747,1782,24h,My girlfriend told me she loved me and that she hoped to marry me one day. ,My girlfriend told me she loved me and that she hoped to marry me one day. ,TRUE,1,,affection
27748,330,24h,"I was very tired after work, but I still managed to go for a 12 mile bicycle ride. This is great since I had knee surgery 2 months ago.","I was very tired after work, but I still managed to go for a 12 mile bicycle ride. This is great since I had knee surgery 2 months ago.",TRUE,2,,achievement
27749,589,24h,I took my girlfriend out for a nice Birthday dinner and got to watch her open her presents. It was a really fun evening.,I took my girlfriend out for a nice Birthday dinner and got to watch her open her presents. It was a really fun evening.,TRUE,2,,affection
27750,35,24h,Going for some running and exercising after three days break.,Going for some running and exercising after three days break.,TRUE,1,,exercise
27751,524,24h,I did my income taxes for this year and I have a nice refund coming.,I did my income taxes for this year and I have a nice refund coming.,TRUE,1,,achievement
27752,477,24h,"Everyone works at his own pace, so why compare yourself to others? If you think youare better than someone else, you gain an unhealthy sense of superiority. If you think someone else is better than you, you end up feeling bad about yourself. Youall be happier if you focus on your own progress and praise others on theirs.","Everyone works at his own pace, so why compare yourself to others? If you think you're better than someone else, you gain an unhealthy sense of superiority. If you think someone else is better than you, you end up feeling bad about yourself. Youall be happier if you focus on your own progress and praise others on theirs.",FALSE,4,,enjoy_the_moment
27753,37,24h,I was able to do 150 push-ups today which is the highest I've done. ,I was able to do 150 push-ups today which is the highest I've done. ,TRUE,1,,achievement
27754,215,24h,My Mother gave me a surprise visit at my home.,My Mother gave me a surprise visit at my home.,TRUE,1,,affection
27755,2416,24h,We celebrated our anniversary with my boyfriend.,We celebrated our anniversary with my boyfriend.,TRUE,1,,affection
27756,8589,24h,We booked our beach vacation for May of this year.,We booked our beach vacation for May of this year.,TRUE,1,,leisure
27757,237,24h,After a long time of waiting i finally got my tickets for my favourite movie released yesterday that too for a first day first show.It was really an awesome feeling still i could feel it all the way.I get goosebumps when i relive the moment in theatre.,After a long time of waiting i finally got my tickets for my favourite movie released yesterday that too for a first day first show.It was really an awesome feeling still i could feel it all the way.I get goosebumps when i relive the moment in theatre.,TRUE,1,,enjoy_the_moment
27758,69,24h,I met with my city mayor and given valuable advice for development of city.,I met with my city mayor and given valuable advice for development of city.,TRUE,1,,achievement
27759,648,24h,INDIA WON THE SERIES AGAINST AUSTRALIA MADE ME TO FEEL HAPPY,INDIA WON THE SERIES AGAINST AUSTRALIA MADE ME TO FEEL HAPPY,TRUE,1,enjoy_the_moment,enjoy_the_moment
27760,1833,24h,I finished painting my granddaughters bedroom,I finished painting my granddaughters bedroom,TRUE,1,,achievement
27761,1430,24h,After taking some off at the gym(due to illness) I was able to wake up early and complete my normal squat workout at the same weight I had done prior to my break. ,After taking some off at the gym(due to illness) I was able to wake up early and complete my normal squat workout at the same weight I had done prior to my break. ,TRUE,1,,exercise
27762,15,24h,Last night my sister born a baby and I got new relation which is UNCLE this is happiest moment for me.,Last night my sister born a baby and I got new relation which is UNCLE this is happiest moment for me.,TRUE,1,,affection
27763,1300,24h,I got a new phone and it is great because I have never had a phone before. ,I got a new phone and it is great because I have never had a phone before. ,TRUE,1,,achievement
27764,102,24h,My son results is today its got very good he scored 99% in school its so happy to see the results,My son results is today its got very good he scored 99% in school its so happy to see the results,TRUE,1,affection,affection
27765,449,24h,I got travel visa as a tourist for 3 months to Australia,I got travel visa as a tourist for 3 months to Australia,TRUE,1,,achievement
27766,555,24h,"Hi, The thing that made me happy is, I have finished all my tasks in my office and got appreciation from team leader for the work done yesterday that moment made me happy in the past 24 hours.  Yesterday I performed well and this is the first time I got team topper position that moment made me happy.","Hi, The thing that made me happy is, I have finished all my tasks in my office and got appreciation from team leader for the work done yesterday that moment made me happy in the past 24 hours.  Yesterday I performed well and this is the first time I got team topper position that moment made me happy.",TRUE,2,,achievement
27767,2628,24h,I could do 108 suryanamaskars in 40 mins for which I would otherwise take 60 mins!!,I could do 108 suryanamaskars in 40 mins for which I would otherwise take 60 mins!!,TRUE,2,,achievement
27768,1028,24h,"We know that sleep helps our bodies to recover from the day and repair themselves, and that it helps us focus and be more productive. It turns out, itas also important for our happiness.Our commute to the office can have a surprisingly powerful impact on our happiness.","We know that sleep helps our bodies to recover from the day and repair themselves, and that it helps us focus and be more productive. It turns out, itas also important for our happiness.Our commute to the office can have a surprisingly powerful impact on our happiness.",TRUE,2,,enjoy_the_moment
27769,76,24h,I went to sportsclub and did running and exercise that's why I feel very fresh and happy.,I went to sports club and did running and exercise that's why I feel very fresh and happy.,FALSE,1,,exercise
27770,689,24h,I got engaged with my parents support,I got engaged with my parents support,TRUE,1,,affection
27771,5046,24h,I found a poet that I really love a lot on twitter. ,I found a poet that I really love a lot on twitter. ,TRUE,1,,enjoy_the_moment
27772,5116,24h,There was hardly any traffic on my way to work this morning.,There was hardly any traffic on my way to work this morning.,TRUE,1,,enjoy_the_moment
27773,1199,24h,I got very happy because of doing more task in mechanical turk and got more reward points. It made me to feel happy in the last 24 hours ,I got very happy because of doing more task in mechanical turk and got more reward points. It made me to feel happy in the last 24 hours ,TRUE,2,,achievement
27774,1517,24h,Seeing most of my friends and being able to catch up with them filled me with joy.,Seeing most of my friends and being able to catch up with them filled me with joy.,TRUE,1,,bonding
27775,251,24h,I came to my office at right time.,I came to my office at right time.,TRUE,1,,achievement
27776,681,24h,My family went to a wildlife park. It was so beautiful.,My family went to a wildlife park. It was so beautiful.,TRUE,2,affection,affection
27777,3704,24h,The day I got my degree in industrial engineering,The day I got my degree in industrial engineering,TRUE,1,,achievement
27778,738,24h,"Frankly, I am constipated over the past 2 days and not able to defecate, today my bowel got cleared that moment really makes me feel happy and my bowel feels well that moment makes me feel happy really.","Frankly, I am constipated over the past 2 days and not able to defecate, today my bowel got cleared that moment really makes me feel happy and my bowel feels well that moment makes me feel happy really.",TRUE,1,,enjoy_the_moment
27779,9896,24h,i read a great book about motivation and atitude,i read a great book about motivation and attitude,FALSE,1,,leisure
27780,932,24h,I won a cricket match and i played really well.,I won a cricket match and i played really well.,TRUE,1,,achievement
27781,8662,24h,One happy moment that happened to me in the past 24 hours would be that I went back to work today for the first time in 4 years. ,One happy moment that happened to me in the past 24 hours would be that I went back to work today for the first time in 4 years. ,TRUE,1,,enjoy_the_moment
27782,3147,24h,I woke up early this morning and witnessed a beautiful sunrise.,I woke up early this morning and witnessed a beautiful sunrise.,TRUE,1,,enjoy_the_moment
27783,1094,24h,Taking a nice warm shower. It was really good and relaxing.,Taking a nice warm shower. It was really good and relaxing.,TRUE,2,,enjoy_the_moment
27784,4148,24h,we went to vacation to my native place.my parents and siblings are there.it was great feel with my family.we ate a lot with my family and had a fun.,we went to vacation to my native place.my parents and siblings are there.it was great feel with my family.we ate a lot with my family and had a fun.,TRUE,1,,affection
27785,1057,24h,I saw a rainbow and it made me to feel very happy since i have never seen rainbow in reality.,I saw a rainbow and it made me to feel very happy since i have never seen rainbow in reality.,TRUE,1,,nature
27786,11573,24h,I Saw my Dad when i went to his office. He was so popular among his staff and Many people know him. This thing makes me happy for my Dad.,I Saw my Dad when i went to his office. He was so popular among his staff and Many people know him. This thing makes me happy for my Dad.,TRUE,3,,affection
27787,13,24h,Yesterday night I went for a movie with my family.We had great fun spending time together.,Yesterday night I went for a movie with my family.We had great fun spending time together.,TRUE,1,,affection
27788,2349,24h,"I went to office hour of one of my professors, and I realized that he was the most caring professor/mentor ever.","I went to office hour of one of my professors, and I realized that he was the most caring professor/mentor ever.",TRUE,1,,achievement
27789,24,24h,We all ladies member from my family went for a lunch at seven star hotel n it was so much fun when all ladies go together n gossip ,We all ladies member from my family went for a lunch at seven star hotel n it was so much fun when all ladies go together n gossip ,TRUE,1,,affection
27790,72,24h,A made quite the progress on an old rusty workbench I am restoring at the moment. With the new paint it looks like new.,A made quite the progress on an old rusty workbench I am restoring at the moment. With the new paint it looks like new.,TRUE,2,achievement,achievement
27791,2029,24h,When my wife came home from work and we shared a steak dinner together with a bottle of wine.,When my wife came home from work and we shared a steak dinner together with a bottle of wine.,TRUE,1,,affection
27792,120,24h,Julia was such a good girl last night on the lunge and was trying very very hard to do what was asked of him without getting panicky and throwing a resulting wobbles!,Julia was such a good girl last night on the lunge and was trying very very hard to do what was asked of him without getting panicky and throwing a resulting wobbles!,TRUE,1,,affection
27793,266,24h,"my son went to football match with his friends, he came home very happy that his team won the match.seeing him happy we felt very happy.","my son went to football match with his friends, he came home very happy that his team won the match.seeing him happy we felt very happy.",TRUE,1,,affection
27794,3009,24h,In the morning my 2 years daughter apply ointment for my severe headache.,In the morning my 2 years daughter apply ointment for my severe headache.,TRUE,1,,affection
27795,479,24h,Getting all my errands done and completed.,Getting all my errands done and completed.,TRUE,1,achievement,achievement
27796,905,24h,gathering with old friends from school,gathering with old friends from school,TRUE,1,,bonding
27797,2032,24h,"Today I was happier than usual because I ate all my veggies that I put on my plate. I usually leave some leaves on the plate, but not today.","Today I was happier than usual because I ate all my veggies that I put on my plate. I usually leave some leaves on the plate, but not today.",TRUE,2,,enjoy_the_moment
27798,820,24h,I was able to beat my record for bench press,I was able to beat my record for bench press,TRUE,1,,achievement
27799,341,24h,Summer holidays have began for my kids and i was happy,Summer holidays have began for my kids and i was happy,TRUE,1,,affection
